cave,country,countryCode,county,id,latitude,locations,longitude,name,names,region,riggings,massifs,massif
Rocheport Cave [Boone Cave],"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,20369,38.94555556,,-92.51638889,Rocheport Cave [Boone Cave],Rocheport Cave [Boone Cave],Missouri,,,
Fisher Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Franklin County,20371,38.22722222,,-91.08444444,Fisher Cave,Fisher Cave,Missouri,,,
Meramec Caverns,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Franklin County,20372,38.245,,-91.08916667,Meramec Caverns,Meramec Caverns,Missouri,,,
Fantastic Caverns,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Greene County,23532,37.287387,,-93.358501,Fantastic Caverns,Fantastic Caverns,Missouri,,,
Talking Rocks Cavern,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Stone County,23549,36.67944444,,-93.37805556,Talking Rocks Cavern,Talking Rocks Cavern,Missouri,,,
Devil's Icebox Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89875,38.870037,,-92.32713,Devil's Icebox Cave,Devil's Icebox Cave,Missouri,,,
Don Henry Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89876,38.86342509,,-92.27933994,Don Henry Cave,Don Henry Cave,Missouri,,,
Holton's Sink Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89877,39.01662251,,-92.41662001,Holton's Sink Cave,Holton's Sink Cave,Missouri,,,
Kirby Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89879,38.99,,-92.43444,Kirby Cave,Kirby Cave,Missouri,,,
Ralphord's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89882,38.81423321,,-92.14643564,Ralphord's Cave,Ralphord's Cave,Missouri,,,
Rutherford Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89884,38.81472,,-92.14583,Rutherford Cave,Rutherford Cave,Missouri,,,
Storm Cellar Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89887,38.81158048,,-92.27802527,Storm Cellar Cave,Storm Cellar Cave,Missouri,,,
Tower Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89888,38.83466255,,-92.28591134,Tower Cave,Tower Cave,Missouri,,,
Research Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Callaway County,89892,38.735628,,-91.7400171,Research Cave,Research Cave,Missouri,,,
Adkin's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89894,38.139822,,-93.022313,Adkin's Cave,Adkin's Cave,Missouri,,,
Bridal Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89896,38.023456,,-92.791915,Bridal Cave,Bridal Cave,Missouri,,,
Carroll Cave Backdoor Entrance,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89898,37.94527377,,-92.53652495,Carroll Cave Backdoor Entrance,Carroll Cave Backdoor Entrance,Missouri,,,
Carroll Cave Natural Entrance,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89899,37.941435,,-92.514118,Carroll Cave Natural Entrance,Carroll Cave Natural Entrance,Missouri,,,
Counterfeiters' Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89900,37.97337944,,-92.7648012,Counterfeiters' Cave,Counterfeiters' Cave,Missouri,,,
Mole's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89908,38.169114,,-93.055658,Mole's Cave,Mole's Cave,Missouri,,,
Cave Spring,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Barry County,89852,36.783648,,-93.655872,Cave Spring,Cave Spring,Missouri,,,
Onyx Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89910,37.971978,,-92.809496,Onyx Cave,Onyx Cave,Missouri,,,
Crystal Caverns,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Barry County,89854,36.695,,-93.86861,Crystal Caverns,Crystal Caverns,Missouri,,,
Ozark Caverns,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89911,38.054343,,-92.583976,Ozark Caverns,Ozark Caverns,Missouri,,,
Flintrock Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Barry County,89855,36.537812,,-93.800368,Flintrock Cave,Flintrock Cave,Missouri,,,
Perkins Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89912,37.97236411,,-92.50712641,Perkins Cave,Perkins Cave,Missouri,,,
McCann Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Barry County,89856,36.526984,,-93.920918,McCann Cave,McCann Cave,Missouri,,,
River Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89913,37.975936,,-92.760315,River Cave,River Cave,Missouri,,,
Robbers' Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89914,37.97382279,,-92.76414506,Robbers' Cave,Robbers' Cave,Missouri,,,
Ole Man of the Ozarks Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Barry County,89859,36.537433,,-93.805947,Ole Man of the Ozarks Cave,Ole Man of the Ozarks Cave,Missouri,,,
Wildcat Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89916,38.08222,,-92.68694,Wildcat Cave,Wildcat Cave,Missouri,,,
Trail of Tears Arch Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Barry County,89870,36.726816,,-93.846215,Trail of Tears Arch Cave,Trail of Tears Arch Cave,Missouri,,,
Avin Sink Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89927,37.079481,,-93.31742,Avin Sink Cave,Avin Sink Cave,Missouri,,,
Craft Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Benton County,89872,38.3695182,,-93.07440466,Craft Cave,Craft Cave,Missouri,,,
Balknobber's Cave #2,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89929,36.9575,,-93.05333,Balknobber's Cave #2,Balknobber's Cave #2,Missouri,,,
Conner's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89874,38.87083,,-92.32667,Conner's Cave,Conner's Cave,Missouri,,,
Belly Crawl Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89930,36.862214,,-93.253498,Belly Crawl Cave,Belly Crawl Cave,Missouri,,,
Bob's Bluff Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89931,37.079113,,-93.387222,Bob's Bluff Cave,Bob's Bluff Cave,Missouri,,,
Breakdown Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89932,37.089966,,-93.295169,Breakdown Cave,Breakdown Cave,Missouri,,,
Buzzard Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89933,37.04266968,,-93.15721862,Buzzard Cave,Buzzard Cave,Missouri,,,
Camp Creek Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89934,36.870764,,-93.263583,Camp Creek Cave,Camp Creek Cave,Missouri,,,
Case's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89935,36.949377,,-93.08012,Case's Cave,Case's Cave,Missouri,,,
Cave Hollow Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89936,37.027053,,-93.393703,Cave Hollow Cave,Cave Hollow Cave,Missouri,,,
Civil War Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89937,37.050964,,-93.187966,Civil War Cave,Civil War Cave,Missouri,,,
Coyote Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89938,36.819517,,-93.199269,Coyote Cave,Coyote Cave,Missouri,,,
Dewitt Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89939,36.853787,,-93.155134,Dewitt Cave,Dewitt Cave,Missouri,,,
Elvis' Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89940,36.901755,,-93.241447,Elvis' Cave,Elvis' Cave,Missouri,,,
Fitzpatrick Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89941,37.089452,,-93.293538,Fitzpatrick Cave,Fitzpatrick Cave,Missouri,,,
Garrison Cave #1,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89942,37.018282,,-93.186808,Garrison Cave #1,Garrison Cave #1,Missouri,,,
Garrison Cave #2,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89943,37.018282,,-93.186808,Garrison Cave #2,Garrison Cave #2,Missouri,,,
Johnson Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89944,37.033734,,-93.079176,Johnson Cave,Johnson Cave,Missouri,,,
Ozark Cave Hollow Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89945,36.999297,,-93.239594,Ozark Cave Hollow Cave,Ozark Cave Hollow Cave,Missouri,,,
Rantz Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89946,36.818664,,-93.32787,Rantz Cave,Rantz Cave,Missouri,,,
Rattlesnake Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89947,36.88417,,-93.10611,Rattlesnake Cave,Rattlesnake Cave,Missouri,,,
Roller Dam Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89948,36.995492,,-93.289547,Roller Dam Cave,Roller Dam Cave,Missouri,,,
Shelf Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89949,37.093698,,-93.319696,Shelf Cave,Shelf Cave,Missouri,,,
Silver Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89950,37.060314,,-93.05892,Silver Cave,Silver Cave,Missouri,,,
Stoner Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89951,36.832199,,-93.109646,Stoner Cave,Stoner Cave,Missouri,,,
Swan Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89952,36.90646,,-93.001413,Swan Cave,Swan Cave,Missouri,,,
Terrell Creek Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89953,37.080865,,-93.458904,Terrell Creek Cave,Terrell Creek Cave,Missouri,,,
Trout Park Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89954,36.926387,,-93.325414,Trout Park Cave,Trout Park Cave,Missouri,,,
Woody Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89955,37.071164,,-93.154251,Woody Cave,Woody Cave,Missouri,,,
Young Spring,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Christian County,89956,37.027893,,-93.35525,Young Spring,Young Spring,Missouri,,,
Arch Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Miller County,89957,38.34064916,,-92.29565508,Arch Cave,Arch Cave,Missouri,,,
Crabtree Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Cole County,89958,38.33887389,,-92.26801303,Crabtree Cave,Crabtree Cave,Missouri,,,
Natural Bridge Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Miller County,89959,38.33810946,,-92.30639212,Natural Bridge Cave,Natural Bridge Cave,Missouri,,,
Bat Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89960,38.02194,,-91.20389,Bat Cave,Bat Cave,Missouri,,,
Bear Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89961,38.02056,,-91.20167,Bear Cave,Bear Cave,Missouri,,,
Cathedral Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89962,38.05639,,-91.24083,Cathedral Cave,Cathedral Cave,Missouri,,,
Dry Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89963,38.10028,,-91.145,Dry Cave,Dry Cave,Missouri,,,
Fault Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89964,38.02111,,-91.19417,Fault Cave,Fault Cave,Missouri,,,
Green's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Washington County,89965,38.184059,,-91.092625,Green's Cave,Green's Cave,Missouri,,,
Grocer Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89966,38.03869759,,-91.24013693,Grocer Cave,Grocer Cave,Missouri,,,
Little Crystal Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89967,38.05064542,,-91.2386329,Little Crystal Cave,Little Crystal Cave,Missouri,,,
Missouri Caverns,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89968,38.06417,,-91.22917,Missouri Caverns,Missouri Caverns,Missouri,,,
Moonshine Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89969,38.06063416,,-91.2318527,Moonshine Cave,Moonshine Cave,Missouri,,,
Nameless Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89970,38.12955092,,-91.14573276,Nameless Cave,Nameless Cave,Missouri,,,
Onondaga Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89971,38.05998223,,-91.22815015,Onondaga Cave,Onondaga Cave,Missouri,,,
Onyx Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89972,38.112578,,-91.137069,Onyx Cave,Onyx Cave,Missouri,,,
Onyx Cave Little,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Crawford County,89973,38.10083,,-91.14333,Onyx Cave Little,Onyx Cave Little,Missouri,,,
Carrico Cave #2,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Dade County,89977,37.313281,,-93.86869,Carrico Cave #2,Carrico Cave #2,Missouri,,,
Bat Cave at Meramec Caverns,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Franklin County,90004,38.250078,,-91.086402,Bat Cave at Meramec Caverns,Bat Cave at Meramec Caverns,Missouri,,,
Bear Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Franklin County,90005,38.23290974,,-91.10918686,Bear Cave,Bear Cave,Missouri,,,
Bluff Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Franklin County,90006,38.21618727,,-91.0876857,Bluff Cave,Bluff Cave,Missouri,,,
Scott Spring Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Dade County,89981,37.296462,,-93.644931,Scott Spring Cave,Scott Spring Cave,Missouri,,,
Coon Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Franklin County,90008,38.21842117,,-91.11983695,Coon Cave,Coon Cave,Missouri,,,
Mitchell Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Dallas County,89983,37.86940443,,-92.8563336,Mitchell Cave,Mitchell Cave,Missouri,,,
Copper Hollow Sink,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Franklin County,90009,38.238635,,-91.093668,Copper Hollow Sink,Copper Hollow Sink,Missouri,,,
Eddy Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Franklin County,90010,38.23761816,,-91.05994584,Eddy Cave,Eddy Cave,Missouri,,,
