cave,country,countryCode,county,id,latitude,locations,longitude,name,names,region,riggings,massifs,massif
Wilson Cave #2,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90494,37.79457359,,-92.39771753,Wilson Cave #2,Wilson Cave #2,Missouri,,,
Medlock Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Shannon County,90542,37.39546,,-91.589799,Medlock Cave,Medlock Cave,Missouri,,,
Windy Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90495,37.71593042,,-92.36365375,Windy Cave,Windy Cave,Missouri,,,
Meeting House Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Shannon County,90543,37.052574,,-91.574435,Meeting House Cave,Meeting House Cave,Missouri,,,
Wingo Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90496,37.87765239,,-92.22445189,Wingo Cave,Wingo Cave,Missouri,,,
Natural Bridge Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Shannon County,90545,37.26028,,-91.4275,Natural Bridge Cave,Natural Bridge Cave,Missouri,,,
York Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90498,37.755041,,-92.241769,York Cave,York Cave,Missouri,,,
Hunters Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89878,38.832358,,-92.299699,Hunters Cave,Hunters Cave,Missouri,,,
Lawson Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89880,38.8433201,,-92.2886231,Lawson Cave,Lawson Cave,Missouri,,,
Polly's Pot Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89881,38.86901542,,-92.31996432,Polly's Pot Cave,Polly's Pot Cave,Missouri,,,
Rocheport Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89883,38.94583,,-92.51722,Rocheport Cave,Rocheport Cave,Missouri,,,
Sink Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89885,38.826886,,-92.30028653,Sink Cave,Sink Cave,Missouri,,,
Spring Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89886,38.82854119,,-92.30113015,Spring Cave,Spring Cave,Missouri,,,
Tumbler's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89889,38.82766492,,-92.3010989,Tumbler's Cave,Tumbler's Cave,Missouri,,,
Wilton Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Boone County,89890,38.75553177,,-92.37570114,Wilton Cave,Wilton Cave,Missouri,,,
Freeman's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Callaway County,89891,38.66962237,,-91.8845195,Freeman's Cave,Freeman's Cave,Missouri,,,
Saltpeter Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Callaway County,89893,38.73472,,-91.74222,Saltpeter Cave,Saltpeter Cave,Missouri,,,
Arnholdt Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89895,38.06183807,,-92.81612012,Arnholdt Cave,Arnholdt Cave,Missouri,,,
Bunch Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89897,37.99944,,-92.79139,Bunch Cave,Bunch Cave,Missouri,,,
Dry Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89901,37.97545744,,-92.81148781,Dry Cave,Dry Cave,Missouri,,,
Grandpa Chipley's Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89902,38.15859334,,-92.86861608,Grandpa Chipley's Cave,Grandpa Chipley's Cave,Missouri,,,
Ha Ha Tonka Sinks,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89903,37.973991,,-92.765014,Ha Ha Tonka Sinks,Ha Ha Tonka Sinks,Missouri,,,
Ha Ha Tonka Spring Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Camden County,89904,37.974041,,-92.766838,Ha Ha Tonka Spring Cave,Ha Ha Tonka Spring Cave,Missouri,,,
